ILMN_1757379	ILMN_1706935	ILMN_1715748	ILMN_1678308	ILMN_1670576	ILMN_1730679	ILMN_1684114	ILMN_1688124	ILMN_1749403	ILMN_1782098
NA19113	7.00950283628592	7.35342682861467	6.92511760052129	11.2863520834423	9.37342520539922	10.6876208861711	12.9745525386771	6.55563539954468	13.152530834793	7.49251461461568
NA19114	6.98029815441326	7.2704600078475	7.24753754593609	11.0206864851655	9.67784987650767	9.97363777999891	12.594733874494	6.67922762622882	13.8391158607068	7.67690075229308
NA19116	6.87551634722935	7.56032838393879	6.98881698380698	11.007238266944	7.3911586588363	10.0828206750643	12.2936284892445	6.46487908204817	12.9674585781892	7.37742435965979
NA19117	6.77187359575293	7.11632243027565	7.40115401908932	11.2524536249305	9.13735224389651	10.2189127488052	13.1057367151661	6.64816134630136	13.3660200541761	7.03069802836613
NA19118	6.94743499284443	7.47325775947461	6.89240286443479	11.1840547948781	9.76982533120836	10.3533276603412	13.3991798486865	6.66508642817303	13.3790886022071	7.19011587730714
NA19119	6.80065577338106	7.39790668120575	6.9314771120066	11.1883634330269	9.26386401940707	10.6611415990828	13.05092043878	6.58905681449616	13.2433607186302	7.24822704426656
NA19121	6.89023800583664	7.30831471255403	7.17065085891409	11.9107445725885	10.3911026982915	10.7576394825949	13.9349655794641	6.65629841313698	13.4244788327179	7.27742249094875
NA19122	6.80798844730273	7.33408775796882	6.89960302388717	11.2990233478612	9.64870872239239	10.6912814824908	12.9579745634201	6.67576664397247	13.3707230969156	7.32355920642037
NA19127	6.80737016927293	7.26398239630044	6.89100325989149	10.8910706645347	9.21976680356448	9.86662406074651	12.402410313727	6.60365877580766	12.9702711156963	7.21758816361925
NA19128	6.93440614297865	7.36082094222582	7.29931260538746	11.2880487047234	9.65400614639963	10.7816149289072	13.1730124176077	6.57241653720278	13.8610208702594	7.59243174583581
NA19130	6.78953593323679	7.87137074833379	7.26298919548352	11.3943467011123	9.80492708979427	11.109447145501	13.5885569614429	6.26010396831107	13.5891980524441	7.6714536277268
NA19131	7.02320335953408	7.50603628291682	7.17918474631988	10.7688628117014	9.5218071647603	10.1129777312152	12.4800933066252	6.4570540271954	13.3393604054826	7.33588127622611
NA19137	6.82419397986099	7.5397796642788	7.60381684802575	11.6144899225772	7.55354848842625	10.8302136334145	13.5923617857726	6.44799373625537	14.0942329796736	7.33897638436146
NA19138	7.08174323584472	7.49720456356825	7.196893002871	10.8787308273945	9.88879073634166	10.4721811449166	12.5097784683391	6.35445539875939	13.2962177737478	7.76003922761591
NA19140	6.80986137206272	7.46200355408676	7.28687852076187	11.1095098649931	9.01536455963285	10.2904228221381	13.2787409114574	6.60279098991613	12.9104890372503	7.2832837557019
NA19141	6.93633389916017	7.2181091556422	7.06994310959036	11.162864105601	9.79870609369199	10.6196418117769	13.0188698996669	6.50856383762034	13.1815220789784	7.5974878326537
NA19143	7.06699405390149	7.51519620668687	7.15345419634958	11.4671923984342	9.77007918559664	10.9506607707016	13.1876545147773	6.59654547045352	13.8405755940229	7.90183973125154
NA19144	6.95539423524684	7.39244519590907	7.04811894401628	11.0376401640693	9.10842653480469	10.4426577251123	12.4040427438378	6.563631040714	12.7488348110404	7.31183333637182
NA19146	6.83184704848767	7.34032303031021	7.22170923426525	11.6543037080935	10.1201242184513	10.7684111914912	13.8153365413253	6.57254467842086	14.3546095701624	8.15035474356387
NA19147	6.95374835440597	7.18443381855284	7.10844836265056	11.7435012538996	10.8190280296693	10.7944530606837	13.7923362451367	6.61077466910695	13.5533761788174	7.51193760994936
NA19149	6.82727422153668	7.29185989108912	6.78739230213741	11.2573394877623	10.4210559560006	10.6113098584835	13.118980371469	6.68626929406262	13.2179276535772	7.58690115960775
NA19150	6.77507501930147	7.30004867864064	7.33474046206726	11.7347741172768	8.22744417458998	10.6793540323684	13.9068060188213	6.35419801137192	14.2194604114908	7.7201265103392
NA19152	6.84820336734008	7.82950135332841	7.32929562517535	11.2322056514271	9.43326976860313	10.5271655855682	13.0750680252668	6.51143986067323	13.5645852355956	7.43359249317377
NA19153	6.74881957260022	7.65442066807953	7.92261784612106	11.6460125398296	9.88202048601376	11.0471964113839	13.2151002612265	6.61222166607306	14.3372751371473	8.52619598497872
NA19159	6.9868258603835	7.3245299102885	7.65152573613917	11.4775491436122	7.69220255956441	10.8400929398872	13.2657842088262	6.49883026953711	13.6082788357208	7.23527587074667
NA19160	6.96867127000663	7.759856486067	7.10606519411056	11.6414441197513	7.80705960715282	10.8925774893603	13.2531034266254	6.29022846583679	13.4665046781328	7.33590939783674
NA19171	6.82434200469891	7.51367860917228	7.41614249914827	11.5862386154265	9.82609556197634	10.4879779931167	13.3260330392165	6.71657196478124	13.7781895635185	7.78118967725347
NA19172	6.84589582648242	8.41280223345575	7.53599129755988	11.7879017066272	9.62670601603671	11.0579468914342	13.325092121305	6.67926398926073	14.2284180955217	8.4634853012578
NA19175	6.99521920215139	7.32982937850207	7.1581067397749	11.1951624777157	7.34488267017274	10.4415760314365	12.8713086036351	6.59465541712425	12.8816009806242	7.02759919434623
NA19178	6.83588554840067	7.69545615510435	6.94919342425389	11.0420525701752	9.13215538293788	10.5452271180683	12.3506535826182	6.69899889120316	13.2673679368722	7.42738335463415
NA19179	6.78768140733476	7.33646471651912	7.21093824551959	11.5404781445785	9.77838973383825	10.8533357829605	13.609639284713	6.5311190908615	13.5281097535704	6.91617607056318
NA19181	6.93746477511707	7.32282781092518	6.71817963364743	11.0765316435209	8.78219879026298	10.2716498327433	12.1230463943003	6.54124681612921	12.4582911384386	7.20363883801171
NA19182	6.87146695955528	7.27622569103559	6.8913083918114	11.6291962027781	7.01993419357775	11.1676375292159	13.6678721050667	6.49648730488897	13.698013501286	7.60709478860527
NA19184	6.93802325634597	7.70436430407063	6.93076008802794	11.5670349972332	8.69862318670131	10.3495659625078	12.9112084493077	6.4311030291982	12.9345133096461	7.12554173731285
NA19185	6.99080710269061	7.25091944131639	6.8450793684752	11.6976214455589	9.70469852264067	11.2447552635966	12.5538919305674	6.70125454328973	13.2231004665905	7.33639070890831
NA19189	7.15624270613784	7.38153964904009	6.98903469962331	11.619497094288	9.85596516013779	11.0427762030861	13.3189977425728	6.6131561155902	13.1550978933656	7.35144311414727
NA19190	7.09551109897464	7.30142828675563	6.85370280458045	11.1061223882956	9.74390170980147	10.0689710897213	13.0345497477723	6.8927302190223	12.4700570409246	7.03731010260042
NA19192	6.97581127055431	7.57495823223886	7.38763126388059	11.3482941607091	9.80729461929383	10.6602517668201	13.442765681197	6.53273669728132	13.9623479957938	7.52117947861041
NA19197	7.08397146985216	7.27049141683903	7.31553345371082	11.7439060058793	9.88561771212609	10.4340493785438	12.7982818920183	6.54206447321496	13.5122896648749	7.09618077322765
NA19198	6.97195427091244	7.19175234200426	6.98365108146948	11.3278209422117	7.61364488418785	10.559116454175	13.4138609790972	6.52076409545661	13.1897069247638	7.13777470256959
NA19200	6.81459478313609	7.6868961269429	7.0272408811324	11.4248315558586	9.41344493906177	10.858323902696	13.2367410123227	6.41344436745934	13.4890686368204	7.56052814928705
NA19201	6.75854253128492	7.48303838114861	6.86354534767975	11.5444152715221	7.89130863618542	10.8614991711094	13.1441973423451	6.57095631129698	13.3645273065316	7.46071715458537
NA19203	6.99319664996646	7.43505588088424	6.91982474374814	11.2147110562548	9.92374205991488	10.3525888566585	12.4352351800112	6.58177679657366	12.998065458798	7.98320410279182
NA19204	6.92101152129503	7.79870126964367	8.3029315652602	11.6276198143193	10.3767852323143	10.910167669706	13.1106941672077	6.63683242258528	14.3259723488205	7.85043147875924
NA19206	7.04180291379363	7.17789241805109	7.21134286412126	11.2706816781239	9.57192504593051	10.4947138432722	12.8798966183714	6.56044574059597	13.5712606287195	7.47376773984108
